District,Building name,Last date of visit of the case(s),Related cases
Kowloon City,67 Pak Tai Street,,
Kowloon City,20 Celestial Heights,,
Kowloon City,32 Celestial Heights,,
Kowloon City,"Block 5, Royal Peninsula",,
Kowloon City,Kwong Fai Court,,
Kowloon City,Tung Shun Hing Building,,
Kowloon City,On Ping Building,,
Kowloon City,"On Cheong Building, On Wo Yuen",,
Kowloon City,"On Lung Building, On Wo Yuen",,
Kowloon City,"On Fook Building, On Wo Yuen",,
Kowloon City,"King Man House, Ho Man Tin Estate",,
Kowloon City,"Yat Man House, Ho Man Tin Estate",,
Kowloon City,"Yee Man House, Ho Man Tin Estate",,
Kowloon City,"Tower 2, The Zumurud",,
Kowloon City,"Block A, Yee On Court",,
Kowloon City,Wong Teck Building,,
Kowloon City,Cheong Shing Building,,
Kowloon City,Ming Wah Court,,
Kowloon City,"Block A, Oriental Gardens",,
Kowloon City,T.W.G.Hs. Wong Cho Tong Social Service Building,,
Kowloon City,Tong Lu Mansion,,
Kowloon City,Tung Hing Building,,
Kowloon City,"Block 5, Jubilant Place",,
Kowloon City,Metropolitan Rise,,
Kowloon City,Kam Wah House,,
Kowloon City,Great Wall Building,,
Kowloon City,Bulkeley Building,,
Kowloon City,"Ko Fai House, Kwun Fai Court",,
Kowloon City,"Ming Fai House, Kwun Fai Court",,
Kowloon City,"Kwun Cheong House, Kwun Tak Court",,
Kowloon City,"Kwun Shing House, Kwun Tak Court",,
Kowloon City,Kwun Hei Court,,
Kowloon City,Kin On Mansion,,
Kowloon City,Prince Park,,
Kowloon City,"Hung Yan House, Hung Hom Estate",,
Kowloon City,"Hung Fai House, Hung Hom Estate",,
Kowloon City,"Hung Lee Court, Hungham Bay Centre",,
Kowloon City,Mai King Mansion,,
Kowloon City,"Phase 1, Mei King Mansion",,
Kowloon City,Bee Sing Mansion,,
Kowloon City,"Ka Bong Lau, Ka Wai Chuen",,
Kowloon City,La Lumiere,,
Kowloon City,"Block 3, Kent Court",,
Kowloon City,"Tower 1, Harbourfront Landmark",,
Kowloon City,"Tower 2, Harbourfront Landmark",,
Kowloon City,"Tower 20, Laguna Grande, Laguna Verde",,
Kowloon City,"Tower 23, Ocean Vista, Laguna Verde",,
Kowloon City,"Tower 2, Harbour Place",,
Kowloon City,"Tower 4, Harbour Place",,
Kowloon City,"Block A, I-Feng Mansions",,
Kowloon City,"Block B, I-Feng Mansions",,
Kowloon City,"Block D, I-Feng Mansions",,
Kowloon City,"Chi Mei Lau, Chun Seen Mei Chuen",,
Kowloon City,"Chi Chun Lau, Chun Seen Mei Chuen",,
Kowloon City,Marconi Court,,
Kowloon City,91 Ma Tau Kok Road,,
Kowloon City,"Magnolia House, Ma Tau Wai Estate",,
Kowloon City,"Rose House, Ma Tau Wai Estate",,
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",,
Kowloon City,71-73 Ma Tau Wai Road,,
Kowloon City,The City Culture,,
Kowloon City,"Block A, Hang Chien Court, Wyler Gardens",,
Kowloon City,"Block I, Wei Chien Court, Wyler Gardens",,
Kowloon City,The Vantage,,
Kowloon City,"Kai Yat House, Kai Long Court",,
Kowloon City,"Kai Yiu House, Kai Long Court",,
Kowloon City,"Yan Ching House, Kai Ching Estate",,
Kowloon City,"Yuet Ching House, Kai Ching Estate",,
Kowloon City,"Hong Ching House, Kai Ching Estate",,
Kowloon City,"Mun Ching House, Kai Ching Estate",,
Kowloon City,"Lok Ching House, Kai Ching Estate",,
Kowloon City,"Sheung Ching House, Kai Ching Estate",,
Kowloon City,Crayon Building,,
Kowloon City,Shung Fu Building,,
Kowloon City,"Sheung Lok House, Sheung Lok Estate",,
Kowloon City,Chiap Thong Building,,
Kowloon City,"Tower 11, One Beacon Hill",,
Kowloon City,"Tower 9, One Beacon Hill",,
Kowloon City,14 Shing Tak Street,,
Kowloon City,Cheung Wan Building,,
Kowloon City,City 151,,
Kowloon City,Harbour Plaza Metropolis,,
Kowloon City,10 Luk Ming Street,,
Kowloon City,Pok Oi House,,
Kowloon City,"Tower 10, Mantin Heights",,
Kowloon City,"Tower 1, Grand Waterfront",,
Kowloon City,"Tower 2, Grand Waterfront",,
Kowloon City,"Tower 3, Grand Waterfront",,
Kowloon City,"Tower 5, Grand Waterfront",,
Kowloon City,"Tower 6, Grand Waterfront",,
Kowloon City,Wah Keung Building,,
Kowloon City,Wah Lai Building,,
Kowloon City,"Block A, Eastbourne Court",,
Kowloon City,"Block B, Eastbourne Court",,
Kowloon City,"Block C, Eastbourne Court",,
Kowloon City,"Block 10, Lily Mansions, Whampoa Garden",,
Kowloon City,"Block 9, Lily Mansions, Whampoa Garden",,
Kowloon City,"Block 8, Oak Mansions, Whampoa Garden",,
Kowloon City,"Block 1, Cotton Tree Mansions, Whampoa Garden",,
Kowloon City,"Block 3, Cotton Tree Mansions, Whampoa Garden",,
Kowloon City,"Block 2, Palm Mansions, Whampoa Garden",,
Kowloon City,"Block 3, Palm Mansions, Whampoa Garden",,
Kowloon City,"Block 4, Palm Mansions, Whampoa Garden",,
Kowloon City,"Block 12, Bauhinia Mansions, Whampoa Garden",,
Kowloon City,"Block 1, Bauhinia Mansions, Whampoa Garden",,
Kowloon City,"Block 3, Bauhinia Mansions, Whampoa Garden",,
Kowloon City,"Block 7, Bauhinia Mansions, Whampoa Garden",,
Kowloon City,"Block 4, Banyan Mansions, Whampoa Garden",,
Kowloon City,"Block 5, Willow Mansions, Whampoa Garden",,
Kowloon City,"Block 12, Cherry Mansions, Whampoa Garden",,
Kowloon City,"Block 15, Cherry Mansions, Whampoa Garden",,
Kowloon City,"Block 16, Cherry Mansions, Whampoa Garden",,
Kowloon City,"Block 17, Cherry Mansions, Whampoa Garden",,
Kowloon City,"Wing Fu Building, Whampoa Estate",,
Kowloon City,"On Wing Building, Whampoa Estate",,
Kowloon City,"Yuen Wing Building, Whampoa Estate",,
Kowloon City,"Lok Fu Building, Whampoa Estate",,
Kowloon City,"Tower 1, Sky Tower",,
Kowloon City,"Tower 2, Sky Tower",,
Kowloon City,"Shun Man House, Oi Man Estate",,
Kowloon City,"Kin Man House, Oi Man Estate",,
Kowloon City,"Chiu Man House, Oi Man Estate",,
Kowloon City,"Sun Man House, Oi Man Estate",,
Kowloon City,"Tak Man House, Oi Man Estate",,
Kowloon City,"On Shun Building, 3D San Shan Road",,
Kowloon City,12 San Lau Street,,
Kowloon City,"Tower H2, De Novo",,
Kowloon City,4-4A Lion Rock Road,,
Kowloon City,Man Kee Mansion,,
Kowloon City,Marple Court,,
Kowloon City,Kiu Yu Mansion,,
Kowloon City,"Block A, Grandview Garden",,
Kowloon City,"Block D, Grandview Garden",,
Kowloon City,Carlton Mansion,,
Kowloon City,"Tower 1, K.City",,
Kowloon City,"Tower 2, K.City",,
Kowloon City,Crowfields Court,,
Kowloon City,Wing Ying Mansion,,
Kowloon City,"Block 1, Wing Fai Mansion",,
Kowloon City,Timber House,,
Kowloon City,"Block 8, Beverly Villas",,
Kowloon City,"Block B, Phoenix Court",,
Kowloon City,"Block G, Phoenix Court",,
Kowloon City,Twilight Court,,
Kowloon City,Jenford Building,,
Kowloon City,"Lok Kei Lau, Lok Man Sun Chuen",,
Kowloon City,Gillies Mansion,,
Kowloon City,1 Yin On Street,,
Kowloon City,29 Lung Kong Road,,
Kowloon City,"Tower 2A, Vibe Centro",,
Kowloon City,Knight Court,,
Kowloon City,"Tower 1A, Upper East",,
Kowloon City,Junction House,,
Kowloon City,27 Hung Wan Street,,
Kowloon City,4 Shim Luen Street,,
Kowloon City,6 Shim Luen Street,,
Kowloon City,Po Sun Mansion,,
Kowloon City,13 Ying Yeung Street,,
Kwai Tsing,"Fu Ping House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Man House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Kwok House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Keung House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Wah House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Kwai House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Yat House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Nga House, Tai Wo Hau Estate",,
Kwai Tsing,"Fu Pik House, Tai Wo Hau Estate",,
Kwai Tsing,Chung Kwai Chung Tsuen,,
Kwai Tsing,Yau Ming Building,,
Kwai Tsing,"Yan Shek House, Shek Yam Estate",,
Kwai Tsing,"Chi Shek House, Shek Yam Estate",,
Kwai Tsing,"Lai Shek House, Shek Yam Estate",,
Kwai Tsing,"Yam Heng House, Shek Yam East Estate",,
Kwai Tsing,"Yam Hing House, Shek Yam East Estate",,
Kwai Tsing,"Shek Sau House, Shek Lei Estate",,
Kwai Tsing,"Shek Yan House, Shek Lei Estate",,
Kwai Tsing,"Shek Chun House, Shek Lei Estate",,
Kwai Tsing,"Shek Wai House, Shek Lei Estate",,
Kwai Tsing,"Shek Cheung House, Shek Lei Estate",,
Kwai Tsing,"Shek Fu House, Shek Lei Estate",,
Kwai Tsing,"Shek Wah House, Shek Lei Estate",,
Kwai Tsing,"Shek Yat House, Shek Lei Estate",,
Kwai Tsing,"Shek Kwong House, Shek Lei Estate",,
Kwai Tsing,"Shek Hing House, Shek Lei Estate",,
Kwai Tsing,"Shek Hei House, Shek Lei Estate",,
Kwai Tsing,Ming Tong Building,,
Kwai Tsing,Southern Building,,
Kwai Tsing,"Hong Yam House, On Yam Estate",,
Kwai Tsing,"Shing Yam House, On Yam Estate",,
Kwai Tsing,"Cheung Yam House, On Yam Estate",,
Kwai Tsing,"Kar Yam House, On Yam Estate",,
Kwai Tsing,"Tak Yam House, On Yam Estate",,
Kwai Tsing,"Chak Yam House, On Yam Estate",,
Kwai Tsing,"Fung Yam House, On Yam Estate",,
Kwai Tsing,Hip Tak Building,,
Kwai Tsing,"Block A, Hutchison Estate",,
Kwai Tsing,Sheung Man Court,,
Kwai Tsing,Victory Garden,,
Kwai Tsing,Cheong Wang Mansion,,
Kwai Tsing,"On Pak House, Cheung On Estate",,
Kwai Tsing,"On Yeung House, Cheung On Estate",,
Kwai Tsing,"On Ching House, Cheung On Estate",,
Kwai Tsing,"On Mei House, Cheung On Estate",,
Kwai Tsing,"On Wu House, Cheung On Estate",,
Kwai Tsing,"On Tao House, Cheung On Estate",,
Kwai Tsing,"Hang Yee House, Cheung Hang Estate",,
Kwai Tsing,"Hang Chun House, Cheung Hang Estate",,
Kwai Tsing,"Hang Yip House, Cheung Hang Estate",,
Kwai Tsing,"Hang Chui House, Cheung Hang Estate",,
Kwai Tsing,"Hang Lai House, Cheung Hang Estate",,
Kwai Tsing,"Wang Sum House, Cheung Wang Estate",,
Kwai Tsing,"Wang Ching House, Cheung Wang Estate",,
Kwai Tsing,"Wang Yung House, Cheung Wang Estate",,
Kwai Tsing,"Wang Sin House, Cheung Wang Estate",,
Kwai Tsing,"Wang Ngai House, Cheung Wang Estate",,
Kwai Tsing,"Ching Chung House, Cheung Ching Estate",,
Kwai Tsing,"Ching Yung House, Cheung Ching Estate",,
Kwai Tsing,"Hong Wo House, Cheung Hong Estate",,
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",,
Kwai Tsing,"Hong Cheung House, Cheung Hong Estate",,
Kwai Tsing,"Hong Wah House, Cheung Hong Estate",,
Kwai Tsing,"Hong Shun House, Cheung Hong Estate",,
Kwai Tsing,"Hong Wing House, Cheung Hong Estate",,
Kwai Tsing,"Hong Fung House, Cheung Hong Estate",,
Kwai Tsing,"Chun Fat House, Cheung Fat Estate",,
Kwai Tsing,"King Fat House, Cheung Fat Estate",,
Kwai Tsing,"Yee Kui House, Tsing Yi Estate",,
Kwai Tsing,"Yee Yip House, Tsing Yi Estate",,
Kwai Tsing,"Wang Chau House, Ching Wang Court",,
Kwai Tsing,"Block 3, Tsing Yi Garden",,
Kwai Tsing,"Block 4, Tsing Yi Garden",,
Kwai Tsing,"Block 7, Tsing Yi Garden",,
