Eastern,"Block 10, Fullview Garden",,
Eastern,"Block 11, Fullview Garden",,
Eastern,"Block 5, Fullview Garden",,
Eastern,"Block 8, Fullview Garden",,
Eastern,"Block 9, Fullview Garden",,
Eastern,"Block 3, Harmony Garden",,
Eastern,"Block 6, Harmony Garden",,
Eastern,"Block 7, Harmony Garden",,
Eastern,Fulham Court,,
Eastern,Po Lee Building,,
Eastern,Po Fuk Building,,
Eastern,"Block 2, Pacific Palisades",,
Eastern,"Sui Hei House, Siu Sai Wan Estate",,
Eastern,"Sui Keung House, Siu Sai Wan Estate",,
Eastern,"Sui Ming House, Siu Sai Wan Estate",,
Eastern,"Sui Lok House, Siu Sai Wan Estate",,
Eastern,"Sui Tai House, Siu Sai Wan Estate",,
Eastern,"Sui Moon House, Siu Sai Wan Estate",,
Eastern,"Sui Yick House, Siu Sai Wan Estate",,
Eastern,"Sui Shing House, Siu Sai Wan Estate",,
Eastern,"Sui Fuk House, Siu Sai Wan Estate",,
Eastern,"Sui Lung House, Siu Sai Wan Estate",,
Eastern,"Tsui Pui House, Shan Tsui Court",,
Eastern,"Hiu Fung House, Fung Wah Estate",,
Eastern,"Block E, Perfect Mount Gardens",,
Eastern,"Block C, Fortuna Building",,
Eastern,Everwin Building,,
Eastern,"Block 10, Kornhill Garden",,
Eastern,"Block 1, Kornhill Gardens",,
Eastern,"Block 3, Kornhill Gardens",,
Eastern,"Block 7, Kornhill Gardens",,
Eastern,"Block 8, Kornhill Gardens",,
Eastern,"Block A, Kornhill",,
Eastern,"Block C, Kornhill",,
Eastern,"Block M, Kornhill",,
Eastern,"Block Q, Kornhill",,
Eastern,"Block R, Kornhill",,
Eastern,"Block A, Fortress Metro Tower",,
Eastern,"Tower D, Fortress Metro Tower",,
Eastern,"Tower 1, Greenwood Terrace",,
Eastern,"Tower 3, Greenwood Terrace",,
Eastern,239A Shau Kei Wan Road,,
Eastern,Kin Yip Mansion,,
Eastern,Tak Lee Building,,
Eastern,"Cheong Yee House, Yee Tsui Court",,
Eastern,"Lok Yee House, Yee Tsui Court",,
Eastern,Hang Ying Building,,
Eastern,Yuet Chui Court,,
Eastern,41 Wai Hang Street,,
Eastern,Wai Lee Building,,
Eastern,"Oi Sin House, Oi Tung Estate",,
