District,Building name,Last date of visit of the case(s),Related cases
Kowloon City,"Kwun Wing House, Kwun Tak Court",,
Kowloon City,Kwun Hei Court,,
Kowloon City,13 Nam Kok Road,,
Kowloon City,"Block 1, Majestic Park",,
Kowloon City,Kin On Mansion,,
Kowloon City,Hang Shan Court,,
Kowloon City,"Phase 5, Harrison Court",,
Kowloon City,"Block B, Peninsula Heights",,
Kowloon City,14-16 Pau Chung Street,,
Kowloon City,18 Pau Chung Street,,
Kowloon City,Garfield Court,,
Kowloon City,"Stage 1, Prince Apartments",,
Kowloon City,"The Hong Kong Polytechnic University Student Halls Of Residence, 1 Hung Lai Road",,
Kowloon City,Hung Hum Mansion,,
Kowloon City,"Hung Yat House, Hung Hom Estate",,
Kowloon City,"Hung Yan House, Hung Hom Estate",,
Kowloon City,"Hung Fai House, Hung Hom Estate",,
Kowloon City,"Hung Yiu House, Hung Hom Estate",,
Kowloon City,"Hung Hing Court, Hunghom Bay Centre",,
Kowloon City,21 Mei King Street,,
Kowloon City,"Phase 1, Mei King Mansion",,
Kowloon City,"Phase 2, Mei King Mansion",,
Kowloon City,SAHK LOHAS Garden,,
Kowloon City,"Ka Bong Lau, Ka Wai Chuen",,
Kowloon City,"Ka Lim Lau, Ka Wai Chuen",,
Kowloon City,"Ka Yee Lau, Ka Wai Chuen",,
Kowloon City,Summit View,,
Kowloon City,Yuet Fai House,,
Kowloon City,"Block 3, Kent Court",,
Kowloon City,Hai Kwang House,,
Kowloon City,"Tower 1, Harbourfront Landmark",,
Kowloon City,"Tower 12A, Laguna Verde",,
Kowloon City,"Tower 16, Laguna Verde",,
Kowloon City,"Tower 9, Laguna Verde",,
Kowloon City,"Block 3, Harbour Place",,
Kowloon City,"Block 6, Harbour Place",,
Kowloon City,"Block A, I-Feng Mansions",,
Kowloon City,"Block B, I-Feng Mansions",,
Kowloon City,"Block C, I-Feng Mansions",,
Kowloon City,"Block D, I-Feng Mansions",,
Kowloon City,"Chi Seen Lau, Chun Seen Mei Chuen",,
Kowloon City,"Narcissus House, Ma Tau Wai Estate",,
Kowloon City,"Rose House, Ma Tau Wai Estate",,
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",,
Kowloon City,"Geranium House, Ma Tau Wai Estate",,
Kowloon City,127 Ma Tau Wai Road,,
Kowloon City,97 Ma Tau Wai Road,,
Kowloon City,"Chong Chien Court, Wyler Gardens",,
Kowloon City,"Hang Chien Court, Wyler Gardens",,
Kowloon City,"Wei Chien Court, Wyler Gardens",,
Kowloon City,Wai Tak House,,
Kowloon City,"Block 1, Welcome Gardens",,
Kowloon City,"Yan Ching House, Kai Ching Estate",,
